"year","county_cn","official_area_cn","source_title","source_url","variable_group","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","per_capita_gdp_yuan","resident_population_10k","urban_population_10k","rural_population_10k","urbanization_rate_pct","fixed_asset_investment_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_100m_yuan","real_estate_development_growth_pct","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_100m_yuan","retail_sales_growth_pct"
"2021","城厢区","城厢区","22-14 规模以上工业增加值增速（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2214.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"9.6","7.8","19.1",,
"2021","城厢区","城厢区","22-4 年末常住人口数（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2204.htm","population",,,,,,,,"54.9","39.71","15.19","72.3",,,,,,,,,,,,,,,,,,
"2021","城厢区","城厢区","22-19 社会消费品零售总额（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2219.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"627.79","15.2"
"2021","大田县","大田县","22-10 一般公共预算支出（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2210.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"299920","22698","91221","392","37446",,,,,
"2021","大田县","大田县","22-9 地方一般公共预算收入（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2209.htm","budget_revenue",,,,,,,,,,,,,,,,"78070","25548","7399","2055",,,,,,,,,,
"2021","大田县","大田县","22-7 固定资产投资（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2207.htm","fixed_asset_investment",,,,,,,,,,,,"101.64","17.7","5.67","-48.3",,,,,,,,,,,,,,
"2021","大田县","大田县","22-1 地区生产总值（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2201.htm","gdp","249.38","46.61","124.13","78.64","109.75","14.68","83154",,,,,,,,,,,,,,,,,,,,,,
"2021","大田县","大田县","22-14 规模以上工业增加值增速（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2214.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"3.7","10.4","2",,
"2021","大田县","大田县","22-4 年末常住人口数（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2204.htm","population",,,,,,,,"29.98","16.21","13.77","54.1",,,,,,,,,,,,,,,,,,
"2021","大田县","大田县","22-19 社会消费品零售总额（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2219.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.67","11.2"
"2021","德化县","德化县","22-10 一般公共预算支出（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2210.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"331899","29702","80930","6174","50985",,,,,
"2021","德化县","德化县","22-9 地方一般公共预算收入（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2209.htm","budget_revenue",,,,,,,,,,,,,,,,"146328","50334","13697","4784",,,,,,,,,,
"2021","德化县","德化县","22-7 固定资产投资（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2207.htm","fixed_asset_investment",,,,,,,,,,,,"109.04","22.5","54.35","26.4",,,,,,,,,,,,,,
"2021","德化县","德化县","22-1 地区生产总值（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2201.htm","gdp","327.48","12.51","194.25","120.72","149.4","44.86","97756",,,,,,,,,,,,,,,,,,,,,,
